"id" "sesion" "ansiedad" "expectativa"
1 1 17 5
1 2 11 5
1 3 10 5
1 4 8 5
1 5 6 5
1 6 4 5
1 7 NA 5
1 8 NA 5
1 9 NA 5
1 10 NA 5
1 11 NA 5
1 12 NA 5
2 1 21 6
2 2 23 6
2 3 22 6
2 4 23 6
2 5 23 6
2 6 23 6
2 7 21 6
2 8 24 6
2 9 22 6
2 10 22 6
2 11 23 6
2 12 24 6
3 1 16 2
3 2 17 2
3 3 11 2
3 4 11 2
3 5 8 2
3 6 8 2
3 7 5 2
3 8 NA 2
3 9 NA 2
3 10 NA 2
3 11 NA 2
3 12 NA 2
4 1 22 5
4 2 22 5
4 3 18 5
4 4 17 5
4 5 16 5
4 6 15 5
4 7 12 5
4 8 11 5
4 9 8 5
4 10 6 5
4 11 4 5
4 12 4 5
5 1 22 2
5 2 19 2
5 3 19 2
5 4 15 2
5 5 13 2
5 6 13 2
5 7 9 2
5 8 7 2
5 9 4 2
5 10 4 2
5 11 NA 2
5 12 NA 2
6 1 23 4
6 2 21 4
6 3 19 4
6 4 19 4
6 5 18 4
6 6 17 4
6 7 16 4
6 8 15 4
6 9 13 4
6 10 12 4
6 11 11 4
6 12 9 4
7 1 21 5
7 2 19 5
7 3 16 5
7 4 17 5
7 5 14 5
7 6 14 5
7 7 12 5
7 8 10 5
7 9 9 5
7 10 6 5
7 11 6 5
7 12 5 5
8 1 19 1
8 2 20 1
8 3 20 1
8 4 19 1
8 5 22 1
8 6 20 1
8 7 22 1
8 8 20 1
8 9 19 1
8 10 20 1
8 11 20 1
8 12 19 1
9 1 22 1
9 2 19 1
9 3 18 1
9 4 17 1
9 5 14 1
9 6 13 1
9 7 12 1
9 8 9 1
9 9 8 1
9 10 5 1
9 11 4 1
9 12 NA 1
10 1 21 4
10 2 20 4
10 3 20 4
10 4 20 4
10 5 23 4
10 6 22 4
10 7 21 4
10 8 22 4
10 9 22 4
10 10 23 4
10 11 21 4
10 12 23 4
11 1 21 0
11 2 21 0
11 3 19 0
11 4 19 0
11 5 20 0
11 6 19 0
11 7 20 0
11 8 18 0
11 9 19 0
11 10 21 0
11 11 19 0
11 12 20 0
12 1 13 6
12 2 14 6
12 3 10 6
12 4 11 6
12 5 8 6
12 6 9 6
12 7 6 6
12 8 6 6
12 9 4 6
12 10 NA 6
12 11 NA 6
12 12 NA 6
13 1 22 0
13 2 21 0
13 3 21 0
13 4 19 0
13 5 18 0
13 6 16 0
13 7 14 0
13 8 13 0
13 9 12 0
13 10 8 0
13 11 8 0
13 12 6 0
14 1 21 3
14 2 19 3
14 3 18 3
14 4 16 3
14 5 14 3
14 6 12 3
14 7 10 3
14 8 10 3
